,Unnamed: 0,anho,ciclo,CodCarSec,Convocatoria,Anho,Semestre,Aprobado,AnhoFirma,PrimerPar,SegundoPar,AOT,Primer.Rec,SegundoRec,NotaFinal,id_anony
135324,807,2017,1,CGF-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_4865
135325,808,2017,1,MCT-PLS13,1,2017,1,S,2017,23,9,0,0,0,2F-C-2,es_5468
135326,809,2017,1,ELE-PLS13,1,2017,1,S,2017,21,30,0,0,0,1F-C-5,es_5470
135327,810,2017,1,MCT-PLS13,1,2017,1,N,0,16,3,0,0,0,,es_6225
135328,811,2017,1,CIV-PLS13,1,2017,1,N,2017,13,9,0,0,0,3F-C-1,es_6226
135329,812,2017,1,ELE-PLS13,1,2017,1,S,2016,23,31,0,0,0,1F-C-5,es_5474
135330,813,2017,1,ECA-PLS13,1,2017,1,S,2017,19,11,0,0,0,1F-C-4,es_5475
135331,814,2017,1,MEC-PLS13,1,2017,1,S,2017,24,12,0,0,0,1F-C-3,es_5476
135332,815,2017,1,CIV-PLS13,1,2017,1,S,2017,23,15,0,0,0,1F-C-3,es_6230
135333,816,2017,1,ELE-PLS13,1,2017,1,S,2017,17,8,0,0,0,2F-C-2,es_5479
135334,817,2017,1,CIV-PLS13,1,2017,1,S,2017,0,0,0,0,0,2F-C-2,es_6233
135335,818,2017,1,ELE-PLS13,1,2017,1,S,2017,24,30,0,0,0,1F-C-5,es_6237
135336,819,2017,1,ELE-PLS13,1,2017,1,N,0,10,5,0,0,0,,es_5482
135337,820,2017,1,ELE-PLS13,1,2017,1,N,0,8,0,0,0,0,,es_5484
135338,821,2017,1,CIV-PLS13,1,2017,1,S,2017,17,17,0,0,0,1F-C-3,es_5487
135339,822,2017,1,CIV-PLS13,1,2017,1,S,2017,18,9,0,0,0,1F-C-5,es_4878
135340,823,2017,1,ELE-PLS13,1,2017,1,S,2017,23,14,0,0,0,1F-C-3,es_5490
135341,824,2017,1,IND-PLS13,1,2017,1,S,2017,20,7,0,0,0,1F-C-2,es_5492
135342,825,2017,1,CIV-PLS13,1,2017,1,S,2017,19,9,0,0,0,3F-C-4,es_5496
135343,826,2017,1,ELE-PLS13,1,2017,1,S,2017,21,16,0,0,0,2F-C-2,es_5497
135344,827,2017,1,MEC-PLS13,1,2017,1,S,2017,12,14,0,0,0,"2F-C-1,3F-C-3",es_5498
135345,828,2017,1,CIV-PLS13,1,2017,1,N,0,16,0,0,0,0,,es_5500
135346,829,2017,1,CIV-PLS13,1,2017,1,S,2017,22,21,0,0,0,1F-C-5,es_6260
135347,830,2017,1,ELE-PLS13,1,2017,1,S,2017,8,18,0,0,0,"2F-C-1,3F-C-3",es_5503
135348,831,2017,1,ELE-PLS13,1,2017,1,N,0,20,0,0,0,0,,es_4886
135349,832,2017,1,IND-PLS13,1,2017,1,S,2017,24,26,0,0,0,1F-C-5,es_6262
135350,833,2017,1,CGF-PLS13,1,2017,1,N,2017,17,4,0,0,0,"2F-C-1,3F-C-1",es_4887
135351,834,2017,1,CIV-PLS13,1,2017,1,S,2017,20,23,0,0,0,"2F-C-1,3F-C-4",es_6270
135352,835,2017,1,MCT-PLS13,1,2017,1,N,2017,20,17,0,0,0,,es_5508
135353,836,2017,1,CIV-PLS13,1,2017,1,S,2017,17,12,0,0,0,1F-C-2,es_6272
135354,837,2017,1,MEC-PLS13,1,2017,1,N,2017,22,15,0,0,0,,es_6276
135355,838,2017,1,CIV-PLS13,1,2017,1,N,0,0,0,0,0,0,,es_5512
135356,839,2017,1,ECA-PLS13,1,2017,1,S,2017,22,16,0,0,0,2F-C-5,es_6281
135357,840,2017,1,MCT-PLS13,1,2017,1,S,2017,22,9,0,0,0,3F-C-3,es_6282
135358,841,2017,1,IND-PLS13,1,2017,1,N,2017,20,22,0,0,0,,es_6283
135359,842,2017,1,IND-PLS13,1,2017,1,S,2017,21,24,0,0,0,1F-C-4,es_6284
135360,843,2017,1,IND-PLS13,1,2017,1,S,2017,14,21,0,0,0,1F-C-4,es_6285
135361,844,2017,1,ELE-PLS13,1,2017,1,S,2017,17,25,0,0,0,1F-C-5,es_6286
135362,845,2017,1,ELE-PLS13,1,2017,1,S,2017,24,22,0,0,0,1F-C-5,es_6290
135363,846,2017,1,CIV-PLS13,1,2017,1,S,2017,19,13,0,0,0,1F-C-2,es_5515
135364,847,2017,1,ELE-PLS13,1,2017,1,S,2017,24,10,0,0,0,1F-C-3,es_5516
135365,848,2017,1,MCT-PLS13,1,2017,1,S,2017,19,7,0,0,0,1F-C-2,es_6298
135366,849,2017,1,ELE-PLS13,1,2017,1,S,2017,17,2,0,0,0,2F-C-4,es_6299
135367,850,2017,1,CIV-PLS13,1,2017,1,N,2017,18,4,0,0,0,,es_5523
135368,851,2017,1,CIV-PLS13,1,2017,1,S,2017,23,25,0,0,0,1F-C-5,es_6303
135369,852,2017,1,CIV-PLS13,1,2017,1,N,2017,19,4,0,0,0,,es_5524
135370,853,2017,1,IND-PLS13,1,2017,1,S,2017,24,16,0,0,0,1F-C-4,es_6306
135371,854,2017,1,CGF-PLS13,1,2017,1,N,0,16,2,0,0,0,,es_6307
135372,855,2017,1,MCT-PLS13,1,2017,1,N,0,16,0,0,0,0,,es_5526
135373,856,2017,1,CIV-PLS13,1,2017,1,S,2017,22,26,0,0,0,1F-C-5,es_5528
